gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,average_score,pass_fail,total_score,score_variation,performance_category,has_test_prep,has_standard_lunch
female,group B,bachelor's degree,standard,none,72,72,74,72.66666666666667,Pass,218,1.1547005383792515,Good,0,1
female,group C,some college,standard,completed,69,90,88,82.33333333333333,Pass,247,11.590225767142474,Good,1,1
female,group B,master's degree,standard,none,90,95,93,92.66666666666667,Pass,278,2.5166114784235836,Excellent,0,1
male,group A,associate's degree,free/reduced,none,47,57,44,49.333333333333336,Fail,148,6.8068592855540455,Poor,0,0
male,group C,some college,standard,none,76,78,75,76.33333333333333,Pass,229,1.5275252316519468,Good,0,1
female,group B,associate's degree,standard,none,71,83,78,77.33333333333333,Pass,232,6.027713773341708,Good,0,1
female,group B,some college,standard,completed,88,95,92,91.66666666666667,Pass,275,3.5118845842842465,Excellent,1,1
male,group B,some college,free/reduced,none,40,43,39,40.666666666666664,Fail,122,2.0816659994661326,Poor,0,0
male,group D,high school,free/reduced,completed,64,64,67,65.0,Pass,195,1.7320508075688772,Average,1,0
female,group B,high school,free/reduced,none,38,60,50,49.333333333333336,Fail,148,11.015141094572204,Poor,0,0
male,group C,associate's degree,standard,none,58,54,52,54.666666666666664,Fail,164,3.055050463303893,Below Average,0,1
male,group D,associate's degree,standard,none,40,52,43,45.0,Fail,135,6.244997998398398,Poor,0,1
female,group B,high school,standard,none,65,81,73,73.0,Pass,219,8.0,Good,0,1
male,group A,some college,standard,completed,78,72,70,73.33333333333333,Pass,220,4.163331998932265,Good,1,1
female,group A,master's degree,standard,none,50,53,58,53.666666666666664,Fail,161,4.041451884327381,Below Average,0,1
female,group C,some high school,standard,none,69,75,78,74.0,Pass,222,4.58257569495584,Good,0,1
male,group C,high school,standard,none,88,89,86,87.66666666666667,Pass,263,1.5275252316519465,Excellent,0,1
female,group B,some high school,free/reduced,none,18,32,28,26.0,Fail,78,7.211102550927978,Poor,0,0
male,group C,master's degree,free/reduced,completed,46,42,46,44.666666666666664,Fail,134,2.309401076758503,Poor,1,0
female,group C,associate's degree,free/reduced,none,54,58,61,57.666666666666664,Fail,173,3.511884584284246,Below Average,0,0
male,group D,high school,standard,none,66,69,63,66.0,Pass,198,3.0,Average,0,1
female,group B,some college,free/reduced,completed,65,75,70,70.0,Pass,210,5.0,Good,1,0
male,group D,some college,standard,none,44,54,53,50.333333333333336,Fail,151,5.507570547286102,Below Average,0,1
